timestamp,pos_x,pos_y,pos_z,speed_mps,battery_pct
2025-10-21T19:45:00Z,51.3890,35.6892,30.0,8.0,100.0
2025-10-21T19:45:01Z,51.3895,35.6896,30.5,8.3,99.8
2025-10-21T19:45:02Z,51.3900,35.6900,31.0,8.7,99.6
2025-10-21T19:45:03Z,51.3905,35.6904,31.5,9.0,99.4
2025-10-21T19:45:04Z,51.3910,35.6908,32.0,9.2,99.2
2025-10-21T19:45:05Z,51.3915,35.6912,32.5,9.5,99.0
2025-10-21T19:45:06Z,51.3920,35.6916,33.0,9.7,98.8
2025-10-21T19:45:07Z,51.3925,35.6920,33.5,9.9,98.6
2025-10-21T19:45:08Z,51.3930,35.6924,34.0,10.0,98.4
2025-10-21T19:45:09Z,51.3935,35.6928,34.5,10.2,98.2
2025-10-21T19:45:10Z,51.3940,35.6932,35.0,10.4,98.0
2025-10-21T19:45:11Z,51.3945,35.6936,35.5,10.5,97.8
2025-10-21T19:45:12Z,51.3950,35.6940,36.0,10.7,97.6
2025-10-21T19:45:13Z,51.3955,35.6944,36.5,10.8,97.4
2025-10-21T19:45:14Z,51.3960,35.6948,37.0,11.0,97.2
2025-10-21T19:45:15Z,51.3965,35.6952,37.5,11.1,97.0
2025-10-21T19:45:16Z,51.3970,35.6956,38.0,11.3,96.8
2025-10-21T19:45:17Z,51.3975,35.6960,38.5,11.4,96.6
2025-10-21T19:45:18Z,51.3980,35.6964,39.0,11.6,96.4
2025-10-21T19:45:19Z,51.3985,35.6968,39.5,11.7,96.2
2025-10-21T19:45:20Z,51.3990,35.6972,40.0,11.9,96.0
2025-10-21T19:45:21Z,51.3995,35.6976,40.5,12.0,95.8
2025-10-21T19:45:22Z,51.4000,35.6980,41.0,12.1,95.6
2025-10-21T19:45:23Z,51.4005,35.6984,41.5,12.3,95.4
2025-10-21T19:45:24Z,51.4010,35.6988,42.0,12.4,95.2
2025-10-21T19:45:25Z,51.4015,35.6992,42.5,12.5,95.0
2025-10-21T19:45:26Z,51.4020,35.6996,43.0,12.6,94.8
2025-10-21T19:45:27Z,51.4025,35.7000,43.5,12.7,94.6
2025-10-21T19:45:28Z,51.4030,35.7004,44.0,12.8,94.4
2025-10-21T19:45:29Z,51.4035,35.7008,44.5,12.9,94.2
